"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"E745_00741",22.5587472526515,1.861767836739,0.494270198115549,3.7667005695208,0.000165419198716784,0.000475736336331117
"E745_00744",9.40085445493339,1.83433550297781,0.722063975170189,2.54040578959151,0.0110723919472463,0.0236720103699749
"E745_00746",4.05040044980054,2.99791973478222,1.23007151633713,2.43719141120294,0.0148018419021352,0.0306617797288986
"E745_00748",4.52973849607646,3.21206749239405,1.2168218735307,2.63971873144751,0.00829748596466046,0.01817674410993
"E745_00749",6.68789986121024,2.98922521382527,0.971881293396361,3.07571020672602,0.00210001841920175,0.00509895182658639
"E745_00750",17.1741017941768,2.87204924864335,0.61746426202934,4.65136109935198,3.29751344265892e-06,1.18799605920658e-05
"E745_00751",10.3962182912973,3.69089342886119,0.846951425111359,4.35785727425384,1.31341985458596e-05,4.39344709200272e-05
"E745_00752",27.9373867027949,2.98024921764384,0.489247577543151,6.09149509254542,1.11861015413813e-09,5.59514947642076e-09
"E745_00759",8.33418696819069,3.08120983387813,0.897741715268089,3.43217852248071,0.000598753278765054,0.00159150173597969
"E745_00760",7.04931545127989,3.4394083077051,1.00313682752811,3.42865321391933,0.000606584049629812,0.00160591169445191
"E745_00761",6.21112242703683,4.28534383282209,1.25289806577771,3.42034515805725,0.000625417283529708,0.00165412944235139
"E745_00762",9.3709344442332,4.91049213947873,1.18845701756212,4.13182140112363,3.59900017743184e-05,0.000114909394886626
"E745_00763",5.69922563986432,5.10309181456892,1.40470723835507,3.63285079996078,0.000280307112612825,0.000775206184881525
"E745_00767",4.12657602994181,5.63847630191219,1.50124468486517,3.75586762021981,0.000172741989728092,0.000495726743396226
"E745_00768",4.48813886902729,5.75947622107093,1.46564388977156,3.92965594252818,8.50674934164278e-05,0.00025597058402731
"E745_00770",21.2085612241373,3.70791642971713,0.601611187765574,6.16331029927917,7.12397111818768e-10,3.60389127155377e-09
"E745_00775",4.24813986508271,3.72896523801527,1.34222144705958,2.77820418246509,0.00546602586083527,0.0122974050168665
"E745_00781",32.3901641655549,1.03245566938592,0.368106125644898,2.80477720270785,0.00503513706706964,0.011393651101254
"E745_00782",77.0619557767822,1.50073187625111,0.302879013306374,4.95488895010717,7.23716104470938e-07,2.83755007919016e-06
